PtID,X,Y,OHeight,LatWGS84,LonWGS84,EHeightWGS84,CodeGroup,Code,CodeDesc,Class,SubClass,Date,Time,AntennaH,RTKObs,GSatsUsed,RSatsUsed,RefStations,Solution,InNetwork,NetType,NetFormat,GDOP,PosQ1D,PosQ2D,PosQ3D,StdDevX,StdDevY,StdDevZ
1000,401315.462,5077271.5181610882,6.403,45.841940862,-64.270851115,-12.278,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,09:59:30.7,2.000,8,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.010,0.007,0.012,0.006,0.008,0.008
1001,401317.563,5077267.6125873616,6.531,45.841906019,-64.270823267,-12.150,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:00:41.8,2.000,11,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.009,0.007,0.011,0.005,0.007,0.007
1002,401317.817,5077266.2219758546,6.735,45.841893542,-64.270819712,-11.946,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:01:54.1,2.000,4,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.010,0.007,0.012,0.006,0.008,0.007
1003,401318.322,5077261.4436177947,7.112,45.841850617,-64.270812227,-11.569,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:02:32.1,2.000,12,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.009,0.007,0.011,0.005,0.007,0.007
1004,401318.599,5077256.8961059814,7.239,45.841809737,-64.270807731,-11.442,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:04:32.1,2.000,12,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.009,0.006,0.011,0.005,0.007,0.007
1005,401318.615,5077253.9339650134,7.130,45.841783085,-64.270806919,-11.550,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:05:33.7,2.000,6,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.011,0.008,0.013,0.006,0.008,0.008
1006,401318.734,5077252.3763104202,6.946,45.841769085,-64.270805060,-11.735,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:06:25.7,2.000,13,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.010,0.007,0.012,0.006,0.008,0.007
1007,401318.804,5077248.9394141594,4.554,45.841738169,-64.270803453,-14.127,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:07:21.1,2.000,7,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.008,0.006,0.010,0.005,0.007,0.006
1008,401318.777,5077247.5423047589,4.097,45.841725593,-64.270803518,-14.584,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:08:11.1,2.000,9,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.007,0.012,0.005,0.008,0.007
1009,401318.964,5077246.2001254456,3.782,45.841713543,-64.270800838,-14.899,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:08:44.4,2.000,7,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.009,0.006,0.011,0.005,0.007,0.006
1010,401341.183,5077244.4512494542,3.959,45.841700987,-64.270514414,-14.722,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:11:27.8,2.000,7,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.007,0.013,0.006,0.008,0.008
1011,401341.503,5077246.2107144939,4.344,45.841716865,-64.270510656,-14.337,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:11:56.4,2.000,7,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.008,0.006,0.010,0.004,0.006,0.006
1012,401342.119,5077249.7427383307,6.316,45.841748736,-64.270503455,-12.365,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:12:38.9,2.000,4,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.008,0.006,0.010,0.004,0.006,0.006
1013,401342.446,5077251.0155200269,7.323,45.841760236,-64.270499503,-11.357,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:13:11.7,2.000,7,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.011,0.008,0.013,0.006,0.009,0.008
1014,401344.690,5077255.4617549619,7.398,45.841800566,-64.270471523,-11.282,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:13:35.7,2.000,5,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.007,0.012,0.005,0.008,0.007
1015,401344.567,5077260.3374363100,7.186,45.841844422,-64.270474101,-11.494,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:14:11.5,2.000,8,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.018,0.012,0.022,0.010,0.014,0.013
1016,401345.115,5077263.8251374867,6.550,45.841875884,-64.270467767,-12.131,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:14:31.6,2.000,6,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.011,0.008,0.013,0.006,0.009,0.008
1017,401345.887,5077269.4406929687,6.342,45.841926525,-64.270458973,-12.339,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:14:54.0,2.000,4,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.009,0.006,0.011,0.005,0.007,0.006
1018,401367.218,5077242.4355911519,6.087,45.841686576,-64.270178815,-12.593,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:16:39.4,2.000,10,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.009,0.006,0.011,0.005,0.007,0.006
1019,401367.593,5077243.2802513810,6.339,45.841694231,-64.270174158,-12.341,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:17:12.8,2.000,10,8,7,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.009,0.006,0.011,0.005,0.007,0.007
1020,401368.208,5077244.3153184410,6.748,45.841703633,-64.270166452,-11.933,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:17:55.3,2.000,6,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.009,0.006,0.011,0.005,0.008,0.007
1021,401369.951,5077247.2510775384,6.950,45.841730299,-64.270144609,-11.730,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:18:43.4,2.000,10,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.009,0.007,0.011,0.005,0.008,0.007
1022,401370.678,5077248.0291584926,7.027,45.841737405,-64.270135411,-11.653,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:19:19.8,2.000,5,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.009,0.006,0.011,0.005,0.007,0.006
1023,401371.850,5077250.1417041523,7.494,45.841756582,-64.270120752,-11.186,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:19:48.2,2.000,7,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.007,0.012,0.005,0.008,0.007
1024,401372.803,5077251.8611222757,7.231,45.841772190,-64.270108831,-11.449,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:20:29.8,2.000,12,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.011,0.007,0.013,0.006,0.009,0.008
1025,401373.856,5077254.1736108214,6.630,45.841793150,-64.270095750,-12.050,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:21:30.8,2.000,19,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.007,0.012,0.005,0.008,0.007
1026,401375.562,5077257.0035181083,6.352,45.841818858,-64.270074374,-12.328,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:22:49.1,2.000,6,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.007,0.012,0.006,0.008,0.007
1027,401437.700,5077258.9474281380,6.231,45.841845241,-64.269274757,-12.448,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:24:42.7,2.000,3,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.011,0.007,0.013,0.006,0.009,0.008
1028,401440.049,5077256.7627190137,6.425,45.841825918,-64.269244072,-12.254,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:25:26.1,2.000,3,8,8,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.007,0.012,0.006,0.008,0.007
1029,401443.115,5077253.3830714663,7.581,45.841795946,-64.269203905,-11.099,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:26:1.4,2.000,3,7,8,6,Network solution,Yes,MAX,RTCM_V3,1.7,0.009,0.006,0.011,0.005,0.007,0.007
1030,401444.417,5077252.0035546552,7.780,45.841783718,-64.269186859,-10.899,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:26:33.0,2.000,4,7,8,6,Network solution,Yes,MAX,RTCM_V3,1.7,0.010,0.006,0.012,0.005,0.008,0.007
1031,401446.145,5077250.0356677370,7.551,45.841766258,-64.269164209,-11.128,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:27:6.3,2.000,5,7,8,6,Network solution,Yes,MAX,RTCM_V3,1.7,0.010,0.006,0.012,0.005,0.008,0.007
1032,401448.684,5077246.8771401616,6.496,45.841738199,-64.269130870,-12.183,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:27:36.4,2.000,6,6,8,6,Network solution,Yes,MAX,RTCM_V3,1.9,0.009,0.006,0.011,0.005,0.007,0.006
1033,401450.882,5077244.1679043565,6.444,45.841714135,-64.269102021,-12.235,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:28:9.2,2.000,5,6,8,6,Network solution,Yes,MAX,RTCM_V3,1.9,0.009,0.006,0.011,0.005,0.007,0.007
1034,401464.699,5077358.0087857144,5.891,45.842740495,-64.268947423,-12.788,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:31:33.7,2.000,6,6,7,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.011,0.006,0.012,0.005,0.008,0.007
1035,401461.219,5077358.3316260548,6.076,45.842742902,-64.268992300,-12.604,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:32:22.9,2.000,7,6,7,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.009,0.006,0.011,0.005,0.007,0.007
1036,401455.492,5077359.2148972964,7.713,45.842750031,-64.269066207,-10.967,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:33:15.1,2.000,11,6,7,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.010,0.006,0.012,0.005,0.008,0.007
1037,401453.696,5077359.0459432825,7.885,45.842748254,-64.269089303,-10.795,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:34:15.5,2.000,10,6,7,6,Network solution,Yes,MAX,RTCM_V3,2.1,0.009,0.006,0.011,0.005,0.007,0.007
1038,401452.429,5077359.4531500069,7.783,45.842751737,-64.269105688,-10.897,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:35:20.6,2.000,8,6,7,6,Network solution,Yes,MAX,RTCM_V3,2.1,0.008,0.005,0.010,0.004,0.007,0.006
1039,401450.322,5077359.8888900345,7.337,45.842755356,-64.269132913,-11.342,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:36:8.6,2.000,15,6,7,6,Network solution,Yes,MAX,RTCM_V3,2.1,0.010,0.006,0.011,0.005,0.007,0.007
1040,401447.596,5077360.3574000280,6.357,45.842759182,-64.269168100,-12.323,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:37:9.8,2.000,5,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.009,0.005,0.010,0.004,0.007,0.006
1041,401445.089,5077360.8358525820,6.294,45.842763129,-64.269200476,-12.386,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:37:43.3,2.000,6,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.010,0.006,0.012,0.005,0.008,0.007
1042,401443.542,5077369.8622980770,6.340,45.842844131,-64.269222245,-12.340,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:38:33.8,2.000,3,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.010,0.006,0.012,0.005,0.008,0.007
1043,401448.034,5077369.0755270384,6.405,45.842837694,-64.269164250,-12.275,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:39:1.4,2.000,4,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.010,0.006,0.011,0.005,0.007,0.007
1044,401451.625,5077368.0454866979,6.567,45.842828939,-64.269117799,-12.113,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:39:28.3,2.000,2,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.010,0.006,0.012,0.005,0.008,0.007
1045,401455.293,5077366.8355871215,6.686,45.842818576,-64.269070329,-11.994,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:40:0.2,2.000,3,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.010,0.006,0.012,0.005,0.008,0.007
1046,401458.378,5077365.5100575564,6.554,45.842807090,-64.269030341,-12.126,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:40:30.8,2.000,4,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.011,0.006,0.013,0.006,0.009,0.008
1047,401460.416,5077364.3902654769,6.220,45.842797305,-64.269003866,-12.460,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:40:52.6,2.000,5,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.021,0.012,0.024,0.011,0.016,0.015
1048,401463.789,5077363.1340139098,5.962,45.842786483,-64.268960185,-12.717,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:41:15.5,2.000,2,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.012,0.007,0.014,0.006,0.009,0.009
1049,401475.152,5077400.0775916837,6.049,45.843120541,-64.268821444,-12.631,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:42:48.0,2.000,3,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.010,0.006,0.012,0.005,0.008,0.007
1050,401471.784,5077401.5408891169,6.121,45.843133226,-64.268865113,-12.559,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:43:12.7,2.000,3,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.012,0.006,0.013,0.006,0.009,0.008
1051,401469.824,5077401.8071548222,6.356,45.843135342,-64.268890401,-12.324,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:43:58.9,2.000,4,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.011,0.006,0.013,0.005,0.008,0.008
1052,401466.671,5077403.0232927250,6.579,45.843145834,-64.268931245,-12.101,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:44:23.1,2.000,3,6,8,6,Network solution,Yes,MAX,RTCM_V3,2.0,0.012,0.006,0.013,0.006,0.009,0.008
1053,401463.228,5077404.5194578823,6.544,45.843158805,-64.268975883,-12.136,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:45:26.5,2.000,3,7,8,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.010,0.006,0.011,0.005,0.008,0.007
1054,401460.657,5077406.0276153190,6.362,45.843172008,-64.269009288,-12.318,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:45:48.3,2.000,4,7,8,6,Network solution,Yes,MAX,RTCM_V3,1.6,0.011,0.006,0.013,0.005,0.008,0.008
1055,401457.826,5077407.7365782959,6.300,45.843186981,-64.269046093,-12.380,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:46:6.7,2.000,4,7,9,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.013,0.008,0.016,0.007,0.010,0.010
1056,401476.544,5077445.3652484789,6.229,45.843528255,-64.268812787,-12.451,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:48:39.8,2.000,14,7,9,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.009,0.005,0.010,0.004,0.007,0.007
1057,401481.886,5077443.1247453643,6.525,45.843508858,-64.268743556,-12.155,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:49:48.3,2.000,6,7,9,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.011,0.006,0.012,0.005,0.008,0.008
1058,401484.476,5077441.7992921416,6.521,45.843497301,-64.268709936,-12.159,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:50:39.8,2.000,6,7,9,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.011,0.006,0.013,0.005,0.008,0.008
1059,401486.900,5077440.5108712669,6.390,45.843486054,-64.268678462,-12.290,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:51:8.9,2.000,9,7,9,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.005,0.011,0.005,0.007,0.007
1060,401490.604,5077438.4941600189,6.197,45.843468437,-64.268630368,-12.483,Default,Transects,User entered code,MEAS,GNSS fixed,2018-12-23,10:51:35.6,2.000,5,7,9,6,Network solution,Yes,MAX,RTCM_V3,1.5,0.010,0.006,0.011,0.005,0.007,0.007
